wav_filename,wav_filesize,transcript,confidence_level
./all_wav/Tehran_SayeRoshan0_101.wav,83044,اتفاقاتی که ندیده بودم,0.92755729
./all_wav/Tehran_SayeRoshan0_105.wav,54468,مسجد,0.92755729
./all_wav/Tehran_SayeRoshan0_107.wav,136036,جمع شدن مسلمین برای نمازهای جماعت,0.86415225
./all_wav/Tehran_SayeRoshan0_108.wav,106788,همیشه برای محمدرضا پهلوی,0.92755729
./all_wav/Tehran_SayeRoshan0_109.wav,170020,چه زمانی در کسوت شاه ایران نوکری اجانب را می‌کرد,0.85482424
./all_wav/Tehran_SayeRoshan0_112.wav,157252,بندهای ششگانه انقلاب شاه و ملت را اعلام کرد,0.92755729
./all_wav/Tehran_SayeRoshan0_113.wav,85956,و به روحانیت هم,0.92755729
./all_wav/Tehran_SayeRoshan0_115.wav,176260,پیش‌بینی شاه این بود که روحانیت شیعه مراجع عظام و مردم متدین,0.87110811
./all_wav/Tehran_SayeRoshan0_117.wav,222372,سخنرانی مفصلی انجام داد و در این سخنرانی حمله کرد به روحانی,0.80325073
./all_wav/Tehran_SayeRoshan0_118.wav,130180,عوامل,0.92755729
./all_wav/Tehran_SayeRoshan0_123.wav,103748,شاه به شهر قم سفر می‌کند,0.80045033
./all_wav/Tehran_SayeRoshan0_124.wav,71684,تا شاید بتونه,0.84866017
./all_wav/Tehran_SayeRoshan0_127.wav,72868,روحانیت بیدار,0.92755729
./all_wav/Tehran_SayeRoshan0_128.wav,79268,همیشه میدونستم که,0.92493939
./all_wav/Tehran_SayeRoshan0_129.wav,116676,نقشه های این آدم وابسته,0.8574993000000001
./all_wav/Tehran_SayeRoshan0_130.wav,50500,هرگز,0.92755729
./all_wav/Tehran_SayeRoshan0_134.wav,104900,عصبانی شهر قم را ترک کرد,0.87559336
./all_wav/Tehran_SayeRoshan0_136.wav,92900,انتقام سخت,0.89950824
./all_wav/Tehran_SayeRoshan0_137.wav,187684,شاه از این مسئله خیلی عصبانی شد و به سرعت هم قمری,0.82538396
./all_wav/Tehran_SayeRoshan0_14.wav,139428,نظامی و تحقیر و توهین,0.89782298
